token	similarity
the	1.0
amazement	0.5958417191200284
that	0.5491078992863723
of	0.5480030014565355
through	0.5273448859624238
elusive	0.5033607174430423
sequence	0.4944910926556597
Soaking	0.48732266244601297
a	0.4597775699180884
form	0.45022996498181056
land	0.44272421229348247
in	0.40935881006102465
,	0.4012130528917458
to	0.361090439849149
forth	0.35823610457990135
understand	0.329825916456698
when	0.32097150510092665
